type_repas,titre,url,image,auteur,difficulte,duree,regime,likes,prep_time,cook_time,total_time,cuisson_type,contraintes,rating,votes,portions,ingredients
salades,Salade au maïs et patates tièdes au paprika,https://www.cuisine-libre.org/salade-au-mais-et-patates-tiedes-au-paprika,https://www.cuisine-libre.org/local/cache-gd2/c9/56bd17683c6f12bb5b5930b3db9e06.jpg?1644794334,Romy,,Durée totale :40 min,Non végétarien,30,15 min,25 min,PT40M,Sauté,"Sans œuf, Sans lactose, Sans gluten",5.00,30,2,"3 pommes de terre cuites | 100 g de maïs doux | 100 g de bacon fumé | 100 g de mâche | 1 oignon rouge | beurre | 1 c.café de moutarde ancienne | 1 c.soupe d’huile | 1 c.soupe de vinaigre de vin | 1 c.soupe de paprika | sel, poivre"
salades,Burrito bowl aux haricots langue de feu,https://www.cuisine-libre.org/burrito-bowl-aux-haricots-langue-de-feu,https://www.cuisine-libre.org/local/cache-gd2/1f/ef721d459beaffc8910476e8e4459d.jpg?1644797396,,,Durée totale :1 h 05,Végétalien (vegan),,15 min,50 min,PT1H5M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,4,250 g de haricots langue de feu écossés (frais) | 1 oignon rouge haché finement | huile d’olive | 1 poivron rougeet 1 poivron jaunecoupés en petits dés | mélange d’épices mexicaines | 150 g de quinoa | 1 citron vert pressé | 1 avocat coupé en dés | 2 tomates coupées en dés | coriandre fraiche hachée | optionnel : fromage râpé
salades,Salade de poulpes,https://www.cuisine-libre.org/salade-de-poulpes,https://www.cuisine-libre.org/local/cache-gd2/c0/bdb9dfc34f7a33a74b5b6b9bc9c9e4.jpg?1644795783,Yves Huot-Marchand,,Durée totale :1 h 20,Non végétarien,2,20 min,30 min,PT1H20M,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,2,4,800 g de tout petits poulpes | 800 g de petites pommes de terre nouvelles | 1 botte de petits oignons blancs | 4 cuillerées à soupe d’huile d’olive | 1 citron | 4 gousses d’ail | 2 piments verts doux | 1 mesure de safran | 1 pincée de poivre de Cayenne | sel et poivre
salades,Salade aveyronnaise,https://www.cuisine-libre.org/salade-aveyronnaise,https://www.cuisine-libre.org/local/cache-gd2/11/1de92a557c5c81f7170a495c52a89b.jpg?1644795491,Ja6,,Durée totale :50 min,Non végétarien,,20 min,30 min,PT50M,Sauté,"Sans œuf, Sans lactose",,,6,"250 g de salade mélangée : frisée, scarole, pissenlit | 1 filet de canard ou magret | 200 g de gésiers confits | 2 pommes de terre moyennes à chair ferme | 1 gousse d’ail hachée | 2 oignons blancs moyens émincés | 16 cerneaux de noix | 5 c. à soupe d’huile de noix ou d’arachide | 2 c. à soupe de vinaigre de vin | 2 pincées de thym | 1 cuillère à café de moutarde | Sel & poivre"
salades,Salade de riz aux lentilles et poivrons,https://www.cuisine-libre.org/salade-de-riz-aux-lentilles-et-poivrons,https://www.cuisine-libre.org/local/cache-gd2/4f/f276715a56ffccd284ab11568490ac.jpg?1644796566,,,Durée totale :15 min,Végétalien (vegan),1,15 min,,PT15M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,1,4,"1 tasse de riz cuit | ½ tasse de lentilles blondes cuites | 1 poivron rouge | 1 poivron vert | 2 oignons nouveaux | 3 c. à soupe d’huile d’olive | 1 c. à soupe de vinaigre de cidre | sel, poivre"
salades,Salade de penne au magret fumé,https://www.cuisine-libre.org/salade-de-pennes-aux-magrets-fumes,https://www.cuisine-libre.org/local/cache-gd2/f1/eb0f2c05a932e776d1bb3e91d98441.jpg?1644795490,Bernard Blazin,,Durée totale :1 h 45,Non végétarien,11,15 min,15 min,PT1H45M,,"Sans œuf, Sans lactose",5.00,11,4,1 botte de radis | 250 g de pennes | 1 gros oignon nouveau | 90 g de magret de canard fumé en tranches fines | 5 c. à soupe d’huile d’olive | 3 c. à soupe de Viandox | ½ c. à café de poivre
salades,Salade de quinoa à la feta,https://www.cuisine-libre.org/salade-de-quinoa-a-la-feta,https://www.cuisine-libre.org/local/cache-gd2/a0/f257c0742e71d0b127632397c8d932.jpg?1644794334,Romy,,Durée totale :55 min,Végétarien,60,10 min,15 min,PT55M,Bouilli,"Sans viande, Sans œuf, Sans gluten",4.83,60,4,"2 tasses (500 g) de quinoa cuit | 1 concombre | 6 petites tomates(ou 1 poivron rouge) | 1 gros oignon blanc | 200 g de feta | 3 c. soupe d’huile d’olive | 2 c. soupe de jus de citron | 1 poignée d’olives noires grecques | sel, poivre"
salades,Taboulé de quinoa,https://www.cuisine-libre.org/taboule-de-quinoa,https://www.cuisine-libre.org/local/cache-gd2/2b/eb8e4612f13f470d097fd8cb87e1ab.jpg?1658143078,Romy,Facile !,Durée totale :2 h 30,Végétalien (vegan),47,15 min,15 min,PT2H30M,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,47,4,"2 tasses (500 g) de quinoa cuit | 1 concombre ferme | 3 tomates | 1 poivron rouge (facultatif) | 2 oignons blanc | 1 poignée de menthe fraîche hachée | 1 poignée de raisins secs | 4 à 8 c.soupe d’huile d’olive | 2 citrons pressés | sel, poivre"
salades,Salade de grenaille à la salicorne,https://www.cuisine-libre.org/salade-de-grenaille-a-la-salicorne,https://www.cuisine-libre.org/local/cache-gd2/4f/f3e6b0f46ed9aaa53bdb6b591a5ca1.jpg?1644800854,Jean-Pierre Bouchet,Facile !,Durée totale :55 min,Végétalien (vegan),1,20 min,35 min,PT55M,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,1,4,250 g de salicornes | 500 g de pommes de terre primeur grenaille de l’Île de Noirmoutier | 1 petit oignon rouge | 2 c. à soupe de vinaigre de cidre | 2 c. à soupe d’huile d’olive | sel et poivre
salades,Salade de lentilles au fenouil,https://www.cuisine-libre.org/salade-de-lentilles-au-fenouil,https://www.cuisine-libre.org/local/cache-gd2/43/fe7109e02d9bbb3f54eff67961d73e.jpg?1644794337,,,Durée totale :35 min,Végétarien,7,15 min,20 min,PT35M,Bouilli,"Sans viande, Sans œuf, Sans gluten",5.00,7,6,250 g de lentilles vertes | 2 petits fenouils | 2 c. soupe de vinaigre de xérès | 2 c. soupe de sauce soja | 4 c. soupe d’huile d’olive extra vierge | 2 poignées de fromage à pâte dure : tomme de brebis ossau-iraty ou parmesan
salades,Pâtes roses aux légumes,https://www.cuisine-libre.org/pates-roses-aux-legumes,https://www.cuisine-libre.org/local/cache-gd2/19/e00fa624bbb448ba2c559d6724135f.jpg?1644794333,pattesdemouches,,Durée totale :1 h 20,Végétalien (vegan),8,15 min,45 min,PT1H20M,Bouilli,"Sans viande, Sans œuf, Sans lactose",5.00,8,8,"400 à 500 g de pâtes semi-complètes | 1 betterave crue | 2 à 4 carottes | quelques oignons verts | 100 à 150 g de tofu fumé aux graines (mon préféré, c’est celui de Taifin, mais vous choisissez celui que vous voulez ou bien vous le faites maison) | huile d’olive (ou colza, noisette, sésame) bio de 1ère pression à froid | 2 à 4 citrons bio | miettes d’algues (dulse, laitue de mer ou wakamé) | miso, sel, poivre, cumin | graines de tournesol ou de sésame"
salades,Poulpe mariné d’Icaria,https://www.cuisine-libre.org/poulpe-marine-d-icaria,https://www.cuisine-libre.org/local/cache-gd2/3a/9e7b44a54a735d6427860cd114aa84.jpg?1644794705,Ja6,,Durée totale :1 h 15,Non végétarien,,15 min,30 min,PT1H15M,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,6,1 kg de poulpe | 10 cl de vinaigre de vin rouge | 100 g de poivrons rouges | 100 g de poivrons verts | 2 gousses d’ail | 10 g d’origan séché | 10 g de plumets de fenouil | 50 g de câpres | 25 cl d’huile d’olive | sel
salades,Salade de pommes de terre au saumon à l’aneth,https://www.cuisine-libre.org/salade-de-pommes-de-terre-au-saumon-a-l-aneth,https://www.cuisine-libre.org/local/cache-gd2/05/95daaa68c34bab8d9537b8aaed26f7.jpg?1644794497,Romy,,Durée totale :35 min,Non végétarien,15,10 min,15 min,PT35M,Vapeur,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,15,4,4 belles pommes de terre | 4 tranches de saumon fumé (ou degravlax) | 2 c. soupe de jus de citron | 5 c. soupe d’huile d’olive extra vierge | 1 c. soupe d’aneth frais haché | sel marin | poivre noir fraîchement moulu
salades,Boulgour en salade familiale salée-fruitée,https://www.cuisine-libre.org/boulgour-en-salade-familiale-salee-fruitee,https://www.cuisine-libre.org/local/cache-gd2/92/907e4564c7f11579f4a6542c646bc5.jpg?1648934234,Citrine,Facile !,Durée totale :30 min,Végétarien,2,20 min,10 min,PT30M,,"Sans viande, Sans œuf, Sans lactose",5.00,2,4,500 g de boulgour | vinaigrette maison | 5 carottes | 2 avocats bien mûrs | 1 belle branche de céleri | 1 clémentine | 1 pomme moyenne | 4/5 cornichons | 1 grosse poignée de raisins secs | 1 échalote (ou1/2 oignon) | 1 poignée de persil frais
salades,Taboulé de quinoa fraise mangue,https://www.cuisine-libre.org/salade-de-quinoa-fraise-mangue,https://www.cuisine-libre.org/local/cache-gd2/22/ad8d31463b2190955c26d8683f6a1d.jpg?1645304348,Crystal S.,,Durée totale :30 min,Végétarien,,15 min,15 min,PT30M,Bouilli,"Sans viande, Sans œuf, Sans gluten",,,4,"1 tasse de quinoa, bien rincé | 1½ tasse d’eau | ¼ c. à café de sel | 1 tasse de fraises, coupées en dés | ½ mangue, coupée en dés | ¾ tasse de concombre anglais non pelé, coupé en dés de 1,5 cm | 1½ c. à soupe de menthe fraîche hachée | 2 c. à soupe de jus de citron vert | ½ c. à café de zeste de citron vert | 1 c. à soupe de miel | 1 c. à soupe de de crème sure (ou de yogourt nature) | ¼ tasse d’huile d’olive | sel et poivre au goût"
salades,Crosnes aux copeaux de foie gras,https://www.cuisine-libre.org/crosnes-aux-copeaux-de-foie-gras,https://www.cuisine-libre.org/local/cache-gd2/fd/cf0268dd1d605401011053929cc0dc.jpg?1644794294,Ja6,,Durée totale :30 min,Non végétarien,,15 min,15 min,PT30M,Bouilli,"Sans œuf, Sans lactose, Sans gluten",,,6,600 g de crosnes | 150 g de copeaux de foie gras mi-cuit | 1 citron | 200 g de mâche | gros sel | Sauce | 5 cl de jus de truffe (en conserve) | 5 cuillères à soupe d’huile d’olive | fleur de sel & poivre
salades,Riz thon mayo,https://www.cuisine-libre.org/riz-thon-mayo,https://www.cuisine-libre.org/local/cache-gd2/f8/90eec4acd6bdaadc2fae373573852b.jpg?1644794314,Romy,Facile !,Durée totale :10 min,Non végétarien,67,10 min,,PT10M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",4.97,67,4,300 g de riz cuit froid | 200 g de thon en boîte | 8 cornichons | 1 citron pressé | 2 c. à soupe de mayonnaise | 1 pointe de piment doux moulu | sel et poivre
salades,Pommes de terre au pourpier,https://www.cuisine-libre.org/pommes-de-terre-au-pourpier,https://www.cuisine-libre.org/local/cache-gd2/07/12c423df36a7860f6dde0324b2e085.jpg?1644800360,,,,Non végétarien,,?,,,Sauté,"Sans œuf, Sans lactose, Sans gluten",,,,"100 g de pancetta hachée | 100 g de pourpier | 1 c. à soupe d’oignon émincé | 500 g de petites pommes de terre (rattes) | 60 cl de bouillon de poulet | 1,5 c. à café de miel | 6 cl vinaigre de cidre | sel, poivre"
salades,Taboulé de farro à l’italienne,https://www.cuisine-libre.org/taboule-de-farro-a-l-italienne,https://www.cuisine-libre.org/local/cache-gd2/bc/b74a32871ca3d9860d9ff8c0d14715.jpg?1644796665,,,Durée totale :2 h 35,Végétalien (vegan),1,20 min,15 min,PT2H35M,,"Sans viande, Sans œuf, Sans lactose",5.00,1,6,2 tasses de farro cuit[*] | 6 belles tomates | 1 petite courgette | 2 c. à soupe de pignons | 1 botte de basilic frais | huile d’olive extra-vierge | 1 citron jaune | 6 pincées de sel fin | 6 tours de moulin à poivre
salades,Salade de pissenlit au lard,https://www.cuisine-libre.org/salade-de-pissenlit,https://www.cuisine-libre.org/local/cache-gd2/65/96671afd41debaa1aea71ad2695d93.jpg?1644794695,,,Durée totale :30 min,Non végétarien,,15 min,15 min,PT30M,,Sans lactose,,,,600 g de pissenlits fraîchement récoltés | 250 g de lardons fumés | 4 œufs extra frais | 2 gousses d’ailou 2 échalotes | 2 tranches de pain de campagne un peu rassis taillé en coûtons | 1 c. à café de moutarde | 3 c. à soupe d’huile | 4 c. à soupe de vinaigre de vin | 1 tour de poivre
salades,Taboulé à l’orientale,https://www.cuisine-libre.org/taboule,https://www.cuisine-libre.org/local/cache-gd2/b6/98b4e7e9e75c4f167a94fd4d58d346.jpg?1644794337,,Facile !,Durée totale :2 h 30,Végétalien (vegan),6,30 min,,PT2H30M,,"Sans viande, Sans œuf, Sans lactose",5.00,6,4,"200 g de couscous (semoule de blé dur) moyen | 220 g d’eau | 400 g de belles tomates | 150 g d’oignons nouveaux | 1 citron pressé | 3 cuillères à soupe d’huile d’olive | 1 bouquet de persil plat | 1 bouquet de menthe fraîche | 1 bouquet de coriandre fraîche | sel, poivre"
salades,Salade de haricots et de blé au piment d’Espelette,https://www.cuisine-libre.org/salade-de-haricots-et-de-ble-au-piment-d-espelette,https://www.cuisine-libre.org/local/cache-gd2/06/28caabfc8bc88a6bf18e9780cacf62.jpg?1644870224,Aromarie,,Durée totale :45 min,Végétalien (vegan),,15 min,30 min,PT45M,Bouilli,"Sans viande, Sans œuf, Sans lactose",,,,150 g de blé | 1 boîte de haricots rouges (500 g égouttés) | 1 oignon | 2 c. à soupe d’huile d’olive | 1 c. à soupe de persillade au piment d’Espelette | 1 trait de vinaigre balsamique
salades,Salade Balela,https://www.cuisine-libre.org/salade-balela,https://www.cuisine-libre.org/local/cache-gd2/7f/c76317b1a8b015f15901d8bd87c37b.jpg?1644800162,Gargantua,,Durée totale :25 min,Végétalien (vegan),,25 min,,PT25M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,10,"800 g de pois chiches cuits; en conserve, égouttés et rincés | 800 g de haricots noirs cuits; en conserve, égouttés et rincés | ½ botte de menthe fraîche hachée | ½ botte de persil frais haché | ½ oignon haché | 500 g de tomates grappes ou cerises, coupées en deux ou quatre | sel et poivre du moulin | Sauce | 1 piment vert, haché finement | 1 gousse d’ail, hachée | 5 c. à soupe de vinaigre de cidre | 3 c. à soupe de jus de citron | 4 c. à soupe d’huile d’olive"
salades,Salade de carottes au cumin,https://www.cuisine-libre.org/salade-de-carottes-au-cumin,https://www.cuisine-libre.org/local/cache-gd2/2a/3259fd4509aaaf483d61ac11a837a1.jpg?1644798806,Romy,,Durée totale :2 h 30,Végétalien (vegan),40,10 min,20 min,PT2H30M,Vapeur,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,40,2,500 g de carottes | 2 gousses d’ail | 2 c.café de graines de cumin | 1/2 c.café de paprika | 1 c.soupe d’huile d’olive | 1 c.soupe de jus de citron
salades,Salade « canaille »,https://www.cuisine-libre.org/salade-canaille,https://www.cuisine-libre.org/local/cache-gd2/27/03abb13de5e4bb6acacbbe6e2c97f0.jpg?1644794232,Ja6,,,Non végétarien,,?,,,Friture,"Sans œuf, Sans lactose, Sans gluten",,,,"200 g de mesclun | 1 grosse boîte de haricots blancs | 350 g de peau de 3 magrets ou de confit de canard | 2 tomates | 2 gousses d’ail | 2 cuillères à soupe de graisse d’oie | 5 cl de vinaigre de framboise | sel, poivre | 18 fleurs de capucines (facultatif)"
salades,Salade de quinoa aux haricots noirs et  (...),https://www.cuisine-libre.org/salade-quinoa-haricots-noirs-mangue,https://www.cuisine-libre.org/local/cache-gd2/37/68e17592392110696c9200d173a397.jpg?1644794337,,,Durée totale :15 min,Végétalien (vegan),1,15 min,,PT15M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,1,6,"1 mangue, pelée et coupée en dés | 1 poivron rouge, épépiné et coupé en dés | 1 tasse d’échalote émincée | 1 tasse de coriandre fraîche hachée | 2 c. à soupe de vinaigre de vin rouge | 2 c. à soupe d’huile de pépin de raisin | ¼ c. à café de sel | 2 tasses de quinoa cuit, refroidi | 1½ tasse de haricots noirs cuits, égouttés et rincés | quelques feuilles de laitue"
salades,Penne et saumon au pesto d’aneth,https://www.cuisine-libre.org/penne-et-saumon-au-pesto-d-aneth,https://www.cuisine-libre.org/local/cache-gd2/1d/09d4f583c6d887392fdeb4d5a1c7cc.jpg?1644794333,Romy,,Durée totale :25 min,Non végétarien,18,15 min,10 min,PT25M,Bouilli,"Sans viande, Sans lactose",5.00,18,2,250 g de penne rigate | 200 g de saumon frais (ou surgelé) | 20 g d’aneth fraîche | 10 cl d’huile d’olive | 1 gousse d’ail | sel aux herbes (Herbamare)
salades,Salade pimentée de hareng fumé,https://www.cuisine-libre.org/salade-pimentee-de-hareng-fume,https://www.cuisine-libre.org/local/cache-gd2/48/73d8b907125ae70a9c4c239f58da2b.jpg?1644797917,Buttered Up,,,Non végétarien,,?,,,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,,"250 g de hareng fumé | 1 gros oignon rouge tranché finement | 3 échalotes tranchées finement | ½ ou 1 c. à café de poudre de chili, selon votre tolérance | 1 citron vert (zeste et jus) | 75 g de coriandre fraîche hachée | ¼ tasse d’huile d’olive | ½ c. à café de poivre noir | sel au goût"
salades,Salade Francillon,https://www.cuisine-libre.org/salade-francillon,https://www.cuisine-libre.org/local/cache-gd2/bd/d74f7d3ab25db5888bc0facd4e4b6f.jpg?1644797047,,,Durée totale :2 h 50,Non végétarien,,25 min,25 min,PT2H50M,Bouilli,"Sans viande, Sans œuf",,,4,2 l de moules de bouchot | 1 truffe brossée | 750 g de pommes de terre | 1 branche de céleri | ½ bouquet d’estragon | 1 bouquet de cerfeuil | 10 brins de ciboulette | 10 cl de vin blanc (Sauternes) | 8 c. à soupe d’huile d’olive | 3 c. à soupe de vinaigre de vin blanc | sel | poivre du moulin
salades,Salade russe facile,https://www.cuisine-libre.org/salade-russe-facile,https://www.cuisine-libre.org/local/cache-gd2/56/6e9a9360757408b7267c5ab6f0bc9b.jpg?1644797286,"Cédric, Guillaume",Facile !,Durée totale :1 h 30,Non végétarien,6,20 min,10 min,PT1H30M,,"Sans viande, Sans gluten",5.00,6,,"800 g de macédoine de légumes en conserve | 140 g de thon naturel en conserve | 3 œufs | ½ sachet de purée de pommes de terre en flocons | ¼ litre d’eau | ⅛ de litre de lait | 5 c. à soupe de mayonnaise | 1 c. à soupe de câpres | 125 g d’olives | sel, poivre"
salades,Salade de maïs,https://www.cuisine-libre.org/salade-de-mais,https://www.cuisine-libre.org/local/cache-gd2/9f/9678b882c3c252ad0f591d60763823.jpg?1644794339,Gargantua,Facile !,Durée totale :10 min,Végétalien (vegan),,10 min,,PT10M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,4,1 boite de maïs doux | 1 oignon rouge | 1 c. à soupe de vinaigre | 2 c. à soupe d’huile | sel et poivre | persil
salades,Frisée aux lardons,https://www.cuisine-libre.org/frisee-aux-lardons,https://www.cuisine-libre.org/local/cache-gd2/4b/5e3f95e63632565bf77dd9c12f8f42.jpg?1644796844,Romy,Facile !,Durée totale :20 min,Non végétarien,20,15 min,5 min,PT20M,,"Sans lactose, Sans gluten",5.00,20,4,"1 chicorée frisée | 200 g de lardons fumés | 2 œufs durs | 1 c. café moutarde ancienne | 2 c. soupe de vinaigre de cidre ou de framboise | 3 c. soupe d’huile de noix | sel, poivre"
salades,"Rossolje, salade estonienne",https://www.cuisine-libre.org/rossolje-salade-estonienne,https://www.cuisine-libre.org/local/cache-gd2/2d/ca24cf6e1d86a3f9c3f72ad71a82be.jpg?1645742132,,,Durée totale :1 h,Non végétarien,,30 min,,PT1H,,Sans gluten,,,4,"500 g de filets de harengs matjes[*] | 500 g de viande de bœuf cuite (pot-au-feu) | 5 betteraves rouges cuites | 3 pommes de terre cuites | 3 cornichons aigres-doux ou doux | 2 petites pommes | 2 œufs durs écalés | 1 oignon haché | 25 cl de crème fraîche épaisse | 15 cl de crème fraîche liquide | 3 c. à soupe de moutarde | 1 c. à soupe de sucre | aneth ciselé | sel, poivre"
salades,Filet américain,https://www.cuisine-libre.org/filet-americain,https://www.cuisine-libre.org/local/cache-gd2/33/14b86c2e901a874b7face4ff3ca991.jpg?1644794322,,,Durée totale :20 min,Non végétarien,6,20 min,,PT20M,Crudité,"Sans lactose, Sans gluten",5.00,6,1,"180 g à 200 g de viande de cheval | 1 jaune d’œuf très frais | 1 c à c d’oignon finement haché | 1 c à c d’échalote hachée | 1 c à c de cornichons au vinaigre | 1 c à c de câpres | 1 grosse c à c de mayonnaise | 1 petite c à c de moutarde | 1 jet de Tabasco | 1 jet de sauce anglaise Worcestershire | sel, poivre du moulin"
salades,Taboulé de janvier,https://www.cuisine-libre.org/taboule-de-janvier,https://www.cuisine-libre.org/local/cache-gd2/c3/c5bb5765fab4fee8dded4b0b9e4a98.jpg?1644802051,Ja6,,Durée totale :1 h 30,Végétalien (vegan),,20 min,10 min,PT1H30M,Bouilli,"Sans viande, Sans œuf, Sans lactose",,,5,150 g de bulgur (boulghour) : blé concassé ou pilpil de blé (semoule de blé dur) | 2 oranges | 1 citron jaune | 80 g d’olives noires | 4 branches de persil plat | 1/2 botte de ciboulette | 6 cuillères à soupe d’huile d’olive | Sel & Poivre
